gene_id	chr_id	transcript_length	gene_group
Ec-00_000770	chr_00	1238	
Ec-00_000780	chr_00	327	
Ec-00_000790	chr_00	857	
Ec-00_000800	chr_00	342	
Ec-00_000810	chr_00	558	
Ec-00_000820	chr_00	717	
Ec-00_000830	chr_00	486	
Ec-00_000840	chr_00	1226	
Ec-00_000850	chr_00	366	
Ec-00_000860	chr_00	3168	
Ec-00_000870	chr_00	618	
Ec-00_000880	chr_00	842	
Ec-00_000890	chr_00	591	
Ec-00_000900	chr_00	729	
Ec-00_000910	chr_00	510	
Ec-00_000920	chr_00	327	
Ec-00_000930	chr_00	1353	
Ec-00_000940	chr_00	3266	
Ec-00_000950	chr_00	2682	
Ec-00_000970	chr_00	4678	
Ec-00_000980	chr_00	2575	
Ec-00_000990	chr_00	2475	
Ec-00_001000	chr_00	2758	SBG-male
Ec-00_001000	chr_00	2758	GBG-gametophyte
Ec-00_001020	chr_00	1795	SBG-female
Ec-00_001030	chr_00	204	
Ec-00_001040	chr_00	1807	
Ec-00_001050	chr_00	688	
Ec-00_001060	chr_00	291	
Ec-00_001070	chr_00	3915	
Ec-00_001080	chr_00	3837	
Ec-00_001090	chr_00	1548	
Ec-00_001100	chr_00	1721	
Ec-00_001110	chr_00	993	
Ec-00_001120	chr_00	768	
Ec-00_001130	chr_00	1275	
Ec-00_001140	chr_00	11671	
Ec-00_001150	chr_00	6508	
Ec-00_001160	chr_00	2485	
Ec-00_001170	chr_00	671	
Ec-00_001180	chr_00	3951	
Ec-00_001190	chr_00	2230	
Ec-00_001200	chr_00	5352	SBG-male
Ec-00_001210	chr_00	177	
Ec-00_001220	chr_00	2544	
Ec-00_001230	chr_00	2947	
Ec-00_001240	chr_00	1156	
Ec-00_001250	chr_00	306	
Ec-00_001260	chr_00	159	
Ec-00_001270	chr_00	153	
Ec-00_001280	chr_00	2818	
Ec-00_001290	chr_00	3510	
Ec-00_001300	chr_00	5942	
Ec-00_001310	chr_00	2429	
Ec-00_001320	chr_00	2400	
Ec-00_001330	chr_00	1197	
Ec-00_001340	chr_00	2651	GBG-gametophyte
Ec-00_001350	chr_00	1479	
Ec-00_001360	chr_00	3223	
Ec-00_001370	chr_00	3933	
Ec-00_001380	chr_00	1884	
Ec-00_001390	chr_00	309	
Ec-00_001400	chr_00	2603	
Ec-00_001410	chr_00	13036	
Ec-00_001420	chr_00	1249	
Ec-00_001430	chr_00	4448	
Ec-00_001440	chr_00	1083	
Ec-00_001450	chr_00	2011	
Ec-00_001460	chr_00	2429	
Ec-00_001480	chr_00	1254	
Ec-00_001490	chr_00	1567	
Ec-00_001500	chr_00	2617	
Ec-00_001510	chr_00	1942	
Ec-00_001520	chr_00	1134	
Ec-00_001530	chr_00	3077	
Ec-00_001540	chr_00	3054	GBG-gametophyte
Ec-00_001550	chr_00	3408	
Ec-00_001560	chr_00	1293	
Ec-00_001570	chr_00	2534	
Ec-00_001580	chr_00	4145	
Ec-00_001590	chr_00	2433	
Ec-00_001600	chr_00	3190	
Ec-00_001610	chr_00	1839	
Ec-00_001620	chr_00	1947	
Ec-00_001630	chr_00	2912	
Ec-00_001640	chr_00	2543	
Ec-00_001650	chr_00	918	GBG-sporophyte
Ec-00_001660	chr_00	1064	
Ec-00_001670	chr_00	1239	
Ec-00_001680	chr_00	1143	
Ec-00_001690	chr_00	960	
Ec-00_001700	chr_00	4437	GBG-sporophyte
Ec-00_001710	chr_00	2305	
Ec-00_001720	chr_00	2533	
Ec-00_001730	chr_00	5770	
Ec-00_001740	chr_00	1726	
Ec-00_001750	chr_00	1786	
Ec-00_001760	chr_00	2664	
Ec-00_001770	chr_00	456	
Ec-00_001780	chr_00	276	
Ec-00_001790	chr_00	1367	
Ec-00_001800	chr_00	3529	
Ec-00_001810	chr_00	4101	
Ec-00_001820	chr_00	174	
Ec-00_001830	chr_00	311	
Ec-00_001850	chr_00	1878	
Ec-00_001860	chr_00	3630	SBG-female
Ec-00_001860	chr_00	3630	GBG-sporophyte
Ec-00_001870	chr_00	2448	
Ec-00_001890	chr_00	1893	
Ec-00_001900	chr_00	2847	GBG-sporophyte
Ec-00_001910	chr_00	906	
Ec-00_001920	chr_00	1788	
Ec-00_001930	chr_00	2618	
Ec-00_001940	chr_00	3102	
Ec-00_001950	chr_00	6923	
Ec-00_001960	chr_00	3018	
Ec-00_001970	chr_00	647	
Ec-00_001980	chr_00	1010	
Ec-00_001990	chr_00	522	
Ec-00_002000	chr_00	4408	
Ec-00_002010	chr_00	2475	
Ec-00_002020	chr_00	3022	
Ec-00_002030	chr_00	2479	
Ec-00_002040	chr_00	2471	
Ec-00_002050	chr_00	2290	
Ec-00_002060	chr_00	10512	
Ec-00_002070	chr_00	5708	
Ec-00_002080	chr_00	7595	
Ec-00_002090	chr_00	2675	
Ec-00_002100	chr_00	926	
Ec-00_002110	chr_00	396	
Ec-00_002120	chr_00	609	
Ec-00_002130	chr_00	941	
Ec-00_002140	chr_00	1567	
Ec-00_002160	chr_00	462	
Ec-00_002170	chr_00	216	
Ec-00_002190	chr_00	498	
Ec-00_002200	chr_00	1144	
Ec-00_002210	chr_00	555	
Ec-00_002230	chr_00	1203	
Ec-00_002240	chr_00	228	
Ec-00_002250	chr_00	432	
Ec-00_002260	chr_00	493	
Ec-00_002270	chr_00	372	
Ec-00_002280	chr_00	1305	GBG-gametophyte
Ec-00_002290	chr_00	832	SBG-female
Ec-00_002310	chr_00	264	
Ec-00_002320	chr_00	933	
Ec-00_002330	chr_00	201	
Ec-00_002340	chr_00	621	
Ec-00_002350	chr_00	360	
Ec-00_002360	chr_00	327	
Ec-00_002370	chr_00	1079	
Ec-00_002380	chr_00	621	
Ec-00_002390	chr_00	945	SBG-female
Ec-00_002400	chr_00	171	
Ec-00_002410	chr_00	327	
Ec-00_002420	chr_00	1370	
Ec-00_002430	chr_00	399	
Ec-00_002440	chr_00	348	
Ec-00_002450	chr_00	1288	
Ec-00_002470	chr_00	605	
Ec-00_002480	chr_00	687	
Ec-00_002490	chr_00	1029	
Ec-00_002500	chr_00	482	
Ec-00_002510	chr_00	522	
Ec-00_002520	chr_00	401	
Ec-00_002530	chr_00	387	
Ec-00_002540	chr_00	609	SBG-female
Ec-00_002550	chr_00	1481	
Ec-00_002560	chr_00	168	
Ec-00_002570	chr_00	312	
Ec-00_002580	chr_00	174	
Ec-00_002590	chr_00	342	
Ec-00_002600	chr_00	474	
Ec-00_002610	chr_00	2177	
Ec-00_002620	chr_00	2045	GBG-gametophyte
Ec-00_002630	chr_00	324	
Ec-00_002640	chr_00	1093	
Ec-00_002650	chr_00	528	
Ec-00_002660	chr_00	542	
Ec-00_002670	chr_00	249	
Ec-00_002680	chr_00	1052	
Ec-00_002690	chr_00	372	
Ec-00_002700	chr_00	441	
Ec-00_002710	chr_00	1924	
Ec-00_002720	chr_00	405	
Ec-00_002730	chr_00	573	
Ec-00_002740	chr_00	931	
Ec-00_002750	chr_00	485	
Ec-00_002760	chr_00	405	
Ec-00_002770	chr_00	207	
Ec-00_002780	chr_00	744	
Ec-00_002790	chr_00	585	
Ec-00_002800	chr_00	198	
Ec-00_002810	chr_00	1565	
Ec-00_002820	chr_00	944	
Ec-00_002830	chr_00	348	
Ec-00_002840	chr_00	759	
Ec-00_002850	chr_00	739	GBG-gametophyte
Ec-00_002870	chr_00	662	
Ec-00_002880	chr_00	1406	
Ec-00_002890	chr_00	150	
Ec-00_002900	chr_00	1338	
Ec-00_002910	chr_00	483	
Ec-00_002920	chr_00	654	
Ec-00_002930	chr_00	171	
Ec-00_002940	chr_00	192	
Ec-00_002950	chr_00	501	
Ec-00_002960	chr_00	1673	
Ec-00_002970	chr_00	351	
Ec-00_002980	chr_00	1841	
Ec-00_003000	chr_00	440	
Ec-00_003010	chr_00	249	
Ec-00_003020	chr_00	1577	
Ec-00_003030	chr_00	306	
Ec-00_003040	chr_00	330	
Ec-00_003050	chr_00	637	
Ec-00_003060	chr_00	474	
Ec-00_003070	chr_00	1022	
Ec-00_003080	chr_00	420	
Ec-00_003090	chr_00	416	
Ec-00_003100	chr_00	1841	
Ec-00_003120	chr_00	204	
Ec-00_003130	chr_00	1122	
Ec-00_003140	chr_00	480	
Ec-00_003150	chr_00	147	
Ec-00_003160	chr_00	297	
Ec-00_003170	chr_00	387	
Ec-00_003180	chr_00	411	
Ec-00_003190	chr_00	204	
Ec-00_003200	chr_00	1646	
Ec-00_003210	chr_00	408	
Ec-00_003220	chr_00	318	
Ec-00_003230	chr_00	812	
Ec-00_003240	chr_00	637	
Ec-00_003250	chr_00	513	
Ec-00_003260	chr_00	3238	
Ec-00_003270	chr_00	2512	
Ec-00_003280	chr_00	2321	
Ec-00_003290	chr_00	3322	
Ec-00_003300	chr_00	5011	
Ec-00_003310	chr_00	864	
Ec-00_003320	chr_00	4188	SBG-male
Ec-00_003330	chr_00	2124	
Ec-00_003340	chr_00	1694	
Ec-00_003350	chr_00	1156	
Ec-00_003360	chr_00	2569	
Ec-00_003370	chr_00	1252	
Ec-00_003380	chr_00	7367	
Ec-00_003390	chr_00	1062	
Ec-00_003400	chr_00	3599	
Ec-00_003410	chr_00	1866	
Ec-00_003420	chr_00	696	
Ec-00_003430	chr_00	2197	
Ec-00_003440	chr_00	2791	
Ec-00_003450	chr_00	492	
Ec-00_003460	chr_00	1743	
Ec-00_003470	chr_00	4292	
Ec-00_003480	chr_00	2703	
Ec-00_003490	chr_00	2035	
Ec-00_003500	chr_00	3770	
Ec-00_003510	chr_00	291	
Ec-00_003520	chr_00	1572	
Ec-00_003530	chr_00	1888	
Ec-00_003540	chr_00	2397	
Ec-00_003550	chr_00	1332	
Ec-00_003560	chr_00	2761	
Ec-00_003570	chr_00	260	
Ec-00_003580	chr_00	603	
Ec-00_003590	chr_00	105	
Ec-00_003600	chr_00	507	
Ec-00_003620	chr_00	1467	
Ec-00_003640	chr_00	811	
Ec-00_003650	chr_00	2626	
Ec-00_003660	chr_00	920	
Ec-00_003670	chr_00	843	
Ec-00_003680	chr_00	622	
Ec-00_003690	chr_00	6991	GBG-gametophyte
Ec-00_003700	chr_00	262	GBG-gametophyte
Ec-00_003710	chr_00	752	
Ec-00_003720	chr_00	5708	GBG-gametophyte
Ec-00_003730	chr_00	957	GBG-gametophyte
Ec-00_003740	chr_00	876	GBG-gametophyte
Ec-00_003750	chr_00	375	
Ec-00_003760	chr_00	663	
Ec-00_003770	chr_00	2613	
Ec-00_003780	chr_00	657	
Ec-00_003790	chr_00	345	
Ec-00_003800	chr_00	726	
Ec-00_003810	chr_00	2370	
Ec-00_003820	chr_00	3451	
Ec-00_003830	chr_00	701	
Ec-00_003840	chr_00	1147	
Ec-00_003850	chr_00	1092	
Ec-00_003860	chr_00	4062	
Ec-00_003870	chr_00	280	
Ec-00_003880	chr_00	453	
Ec-00_003890	chr_00	510	
Ec-00_003900	chr_00	234	
Ec-00_003910	chr_00	936	
Ec-00_003920	chr_00	1416	
Ec-00_003930	chr_00	1063	
Ec-00_003940	chr_00	354	
Ec-00_003950	chr_00	1179	
Ec-00_003960	chr_00	3078	
Ec-00_003970	chr_00	722	
Ec-00_003990	chr_00	411	
Ec-00_004000	chr_00	1386	
Ec-00_004010	chr_00	1914	
Ec-00_004020	chr_00	1973	
Ec-00_004030	chr_00	2793	
Ec-00_004040	chr_00	1293	
Ec-00_004050	chr_00	3696	
Ec-00_004060	chr_00	802	
Ec-00_004070	chr_00	1125	
Ec-00_004080	chr_00	423	
Ec-00_004090	chr_00	1577	
Ec-00_004100	chr_00	813	
Ec-00_004110	chr_00	780	
Ec-00_004120	chr_00	606	GBG-sporophyte
Ec-00_004130	chr_00	1126	GBG-sporophyte
Ec-00_004140	chr_00	1201	
Ec-00_004150	chr_00	611	
Ec-00_004160	chr_00	723	GBG-sporophyte
Ec-00_004180	chr_00	381	
Ec-00_004190	chr_00	1517	
Ec-00_004200	chr_00	861	
Ec-00_004210	chr_00	627	GBG-sporophyte
Ec-00_004220	chr_00	3552	
Ec-00_004230	chr_00	977	
Ec-00_004240	chr_00	273	
Ec-00_004250	chr_00	3091	
Ec-00_004260	chr_00	273	
Ec-00_004270	chr_00	648	
Ec-00_004280	chr_00	1952	
Ec-00_004290	chr_00	1648	
Ec-00_004300	chr_00	2310	
Ec-00_004310	chr_00	1568	
Ec-00_004320	chr_00	3019	
Ec-00_004330	chr_00	2727	
Ec-00_004340	chr_00	465	
Ec-00_004350	chr_00	2374	
Ec-00_004360	chr_00	397	
Ec-00_004370	chr_00	647	
Ec-00_004380	chr_00	729	
Ec-00_004400	chr_00	345	
Ec-00_004410	chr_00	1749	
Ec-00_004420	chr_00	633	
Ec-00_004430	chr_00	1965	
Ec-00_004440	chr_00	1620	
Ec-00_004450	chr_00	1759	
Ec-00_004460	chr_00	984	GBG-gametophyte
Ec-00_004470	chr_00	1984	GBG-gametophyte
Ec-00_004480	chr_00	1203	
Ec-00_004490	chr_00	1699	GBG-gametophyte
Ec-00_004500	chr_00	2322	GBG-gametophyte
Ec-00_004510	chr_00	1248	GBG-sporophyte
Ec-00_004520	chr_00	10372	
Ec-00_004530	chr_00	300	
Ec-00_004540	chr_00	1884	
Ec-00_004550	chr_00	1494	
Ec-00_004560	chr_00	3600	
Ec-00_004570	chr_00	1388	
Ec-00_004580	chr_00	168	
Ec-00_004590	chr_00	1059	
Ec-00_004600	chr_00	1105	
Ec-00_004610	chr_00	3315	
Ec-00_004620	chr_00	1272	
Ec-00_004630	chr_00	1819	
Ec-00_004640	chr_00	4130	
Ec-00_004650	chr_00	3480	
Ec-00_004660	chr_00	661	
Ec-00_004670	chr_00	6573	
Ec-00_004680	chr_00	330	GBG-sporophyte
Ec-00_004690	chr_00	2780	
Ec-00_004700	chr_00	694	
Ec-00_004710	chr_00	1114	
Ec-00_004720	chr_00	165	
Ec-00_004730	chr_00	1152	
Ec-00_004740	chr_00	1638	
Ec-00_004750	chr_00	1142	
Ec-00_004760	chr_00	1183	
Ec-00_004770	chr_00	2825	
Ec-00_004780	chr_00	1330	
Ec-00_004790	chr_00	648	
Ec-00_004800	chr_00	4301	
Ec-00_004810	chr_00	873	
Ec-00_004820	chr_00	1359	
Ec-00_004830	chr_00	3307	
Ec-00_004840	chr_00	1496	
Ec-00_004850	chr_00	729	
Ec-00_004860	chr_00	345	GBG-sporophyte
Ec-00_004870	chr_00	2094	
Ec-00_004880	chr_00	582	
Ec-00_004890	chr_00	699	
Ec-00_004900	chr_00	621	
Ec-00_004910	chr_00	2171	GBG-gametophyte
Ec-00_004920	chr_00	1650	GBG-gametophyte
Ec-00_004930	chr_00	448	
Ec-00_004940	chr_00	483	GBG-gametophyte
Ec-00_004950	chr_00	7297	GBG-gametophyte
Ec-00_004960	chr_00	606	GBG-gametophyte
Ec-00_004970	chr_00	369	
Ec-00_004980	chr_00	647	
Ec-00_005000	chr_00	1064	
Ec-00_005010	chr_00	1925	
Ec-00_005020	chr_00	105	GBG-sporophyte
Ec-00_005030	chr_00	3010	
Ec-00_005040	chr_00	144	
Ec-00_005050	chr_00	795	
Ec-00_005060	chr_00	1950	
Ec-00_005090	chr_00	678	
Ec-00_005120	chr_00	1014	
Ec-00_005130	chr_00	2334	
Ec-00_005140	chr_00	1228	
Ec-00_005150	chr_00	2939	
Ec-00_005160	chr_00	1034	
Ec-00_005170	chr_00	849	
Ec-00_005180	chr_00	2877	GBG-gametophyte
Ec-00_005190	chr_00	2097	
Ec-00_005200	chr_00	4650	
Ec-00_005210	chr_00	4392	
Ec-00_005220	chr_00	4915	
Ec-00_005230	chr_00	2169	
Ec-00_005240	chr_00	4281	
Ec-00_005250	chr_00	687	GBG-sporophyte
Ec-00_005260	chr_00	474	
Ec-00_005270	chr_00	750	
Ec-00_005280	chr_00	1146	
Ec-00_005290	chr_00	153	GBG-gametophyte
Ec-00_005310	chr_00	3433	GBG-gametophyte
Ec-00_005320	chr_00	2337	
Ec-00_005330	chr_00	342	
Ec-00_005370	chr_00	2336	
Ec-00_005380	chr_00	996	
Ec-00_005390	chr_00	1920	SBG-female
Ec-00_005390	chr_00	1920	GBG-gametophyte
Ec-00_005400	chr_00	2393	
Ec-00_005410	chr_00	2537	
Ec-00_005420	chr_00	473	
Ec-00_005430	chr_00	492	
Ec-00_005440	chr_00	411	
Ec-00_005450	chr_00	1458	
Ec-00_005460	chr_00	914	
Ec-00_005470	chr_00	3431	
Ec-00_005480	chr_00	1157	
Ec-00_005490	chr_00	543	
Ec-00_005500	chr_00	129	
Ec-00_005510	chr_00	342	
Ec-00_005520	chr_00	1679	
Ec-00_005530	chr_00	3582	
Ec-00_005540	chr_00	1407	
Ec-00_005550	chr_00	1552	
Ec-00_005560	chr_00	1916	
Ec-00_005570	chr_00	1316	
Ec-00_005580	chr_00	2748	
Ec-00_005590	chr_00	1392	
Ec-00_005600	chr_00	1380	
Ec-00_005610	chr_00	543	
Ec-00_005620	chr_00	2887	GBG-gametophyte
Ec-00_005630	chr_00	1776	GBG-gametophyte
Ec-00_005640	chr_00	3301	
Ec-00_005650	chr_00	2364	SBG-female
Ec-00_005650	chr_00	2364	GBG-sporophyte
Ec-00_005660	chr_00	1002	
Ec-00_005670	chr_00	2816	
Ec-00_005680	chr_00	4172	GBG-gametophyte
Ec-00_005690	chr_00	636	GBG-gametophyte
Ec-00_005700	chr_00	1020	
Ec-00_005710	chr_00	626	
Ec-00_005720	chr_00	261	
Ec-00_005730	chr_00	117	
Ec-00_005740	chr_00	261	
Ec-00_005750	chr_00	668	GBG-gametophyte
Ec-00_005760	chr_00	1797	SBG-male
Ec-00_005770	chr_00	4197	
Ec-00_005780	chr_00	1567	
Ec-00_005790	chr_00	4079	
Ec-00_005800	chr_00	1005	
Ec-00_005810	chr_00	1088	
Ec-00_005820	chr_00	1733	SBG-female
Ec-00_005830	chr_00	3012	
Ec-00_005840	chr_00	605	
Ec-00_005850	chr_00	1690	
Ec-00_005860	chr_00	1110	
Ec-00_005870	chr_00	2826	
Ec-00_005880	chr_00	150	
Ec-00_005890	chr_00	1861	
Ec-00_005900	chr_00	2080	
Ec-00_005910	chr_00	2163	
Ec-00_005920	chr_00	1969	
Ec-00_005930	chr_00	2802	
Ec-00_005940	chr_00	923	
Ec-00_005950	chr_00	7112	
Ec-00_005960	chr_00	3216	GBG-gametophyte
Ec-00_005970	chr_00	741	
Ec-00_005980	chr_00	1665	
Ec-00_005990	chr_00	2187	
Ec-00_006000	chr_00	2295	
Ec-00_006010	chr_00	438	
Ec-00_006020	chr_00	375	
Ec-00_006030	chr_00	749	
Ec-00_006040	chr_00	645	
Ec-00_006050	chr_00	1119	
Ec-00_006060	chr_00	4081	GBG-gametophyte
Ec-00_006070	chr_00	294	
Ec-00_006080	chr_00	2121	
Ec-00_006090	chr_00	1494	
Ec-00_006100	chr_00	948	
Ec-00_006110	chr_00	141	
Ec-00_006120	chr_00	423	
Ec-00_006130	chr_00	1092	
Ec-00_006140	chr_00	462	
Ec-00_006150	chr_00	546	
Ec-00_006160	chr_00	1392	
Ec-00_006170	chr_00	2430	
Ec-00_006180	chr_00	1215	
Ec-00_006190	chr_00	975	
Ec-00_006200	chr_00	1269	
Ec-00_006240	chr_00	747	
Ec-00_006260	chr_00	456	
Ec-00_006270	chr_00	543	
Ec-00_006280	chr_00	2221	
Ec-00_006290	chr_00	1989	
Ec-00_006310	chr_00	1700	
Ec-00_006320	chr_00	1764	
Ec-00_006340	chr_00	2190	GBG-gametophyte
Ec-00_006350	chr_00	1887	
Ec-00_006360	chr_00	951	SBG-female
Ec-00_006360	chr_00	951	GBG-gametophyte
Ec-00_006370	chr_00	3537	
Ec-00_006380	chr_00	3742	
Ec-00_006390	chr_00	3447	
Ec-00_006400	chr_00	162	
Ec-00_006410	chr_00	411	
Ec-00_006420	chr_00	5028	
Ec-00_006430	chr_00	915	
Ec-00_006440	chr_00	1509	
Ec-00_006450	chr_00	1266	
Ec-00_006460	chr_00	2128	
Ec-00_006470	chr_00	4736	
Ec-00_006480	chr_00	545	
Ec-00_006490	chr_00	162	
Ec-00_006500	chr_00	672	
Ec-00_006510	chr_00	688	
Ec-00_006520	chr_00	4987	
Ec-00_006530	chr_00	1852	
Ec-00_006540	chr_00	1510	
Ec-00_006550	chr_00	1953	
Ec-00_006560	chr_00	4193	
Ec-00_006570	chr_00	2566	GBG-gametophyte
Ec-00_006580	chr_00	913	
Ec-00_006590	chr_00	3452	GBG-gametophyte
Ec-00_006600	chr_00	372	
Ec-00_006610	chr_00	5751	
Ec-00_006620	chr_00	11980	
Ec-00_006630	chr_00	1156	
Ec-00_006640	chr_00	3201	
Ec-00_006650	chr_00	1915	
Ec-00_006660	chr_00	2485	
Ec-00_006670	chr_00	2826	
Ec-00_006680	chr_00	1337	
Ec-00_006690	chr_00	4368	
Ec-00_006700	chr_00	4591	
Ec-00_006710	chr_00	744	
Ec-00_006720	chr_00	4224	
Ec-00_006730	chr_00	3558	
Ec-00_006740	chr_00	1410	
Ec-00_006750	chr_00	123	
Ec-00_006760	chr_00	861	
Ec-00_006770	chr_00	3116	
Ec-00_006780	chr_00	4088	
Ec-00_006790	chr_00	1790	
Ec-00_006800	chr_00	3374	
Ec-00_006810	chr_00	1659	
Ec-00_006820	chr_00	3280	
Ec-00_006830	chr_00	1425	
Ec-00_006840	chr_00	4359	
Ec-00_006850	chr_00	2682	
Ec-00_006860	chr_00	627	
Ec-00_006870	chr_00	3407	
Ec-00_006880	chr_00	1056	
Ec-00_006890	chr_00	2673	
Ec-00_006900	chr_00	5591	
Ec-00_006920	chr_00	783	
Ec-00_006930	chr_00	1556	
Ec-00_006940	chr_00	1658	
Ec-00_006950	chr_00	4011	
Ec-00_006960	chr_00	3099	GBG-sporophyte
Ec-00_006970	chr_00	1230	
Ec-00_006990	chr_00	985	
Ec-00_007000	chr_00	3631	
Ec-00_007010	chr_00	315	
Ec-00_007020	chr_00	660	
Ec-00_007030	chr_00	1263	
Ec-00_007050	chr_00	1639	
Ec-00_007060	chr_00	595	
Ec-00_007080	chr_00	1503	
Ec-00_007090	chr_00	2568	
Ec-00_007100	chr_00	602	
Ec-00_007110	chr_00	3518	GBG-gametophyte
Ec-00_007120	chr_00	1076	
Ec-00_007130	chr_00	5580	GBG-gametophyte
Ec-00_007140	chr_00	1548	
Ec-00_007150	chr_00	2166	
Ec-00_007160	chr_00	4476	
Ec-00_007170	chr_00	333	
Ec-00_007180	chr_00	4609	
Ec-00_007190	chr_00	252	
Ec-00_007210	chr_00	726	
Ec-00_007220	chr_00	3496	
Ec-00_007230	chr_00	129	
Ec-00_007240	chr_00	3392	
Ec-00_007250	chr_00	1503	GBG-sporophyte
Ec-00_007260	chr_00	1591	
Ec-00_007270	chr_00	2249	SBG-female
Ec-00_007280	chr_00	1881	
Ec-00_007290	chr_00	888	
Ec-00_007300	chr_00	1791	GBG-gametophyte
Ec-00_007310	chr_00	3869	SBG-male
Ec-00_007320	chr_00	1120	
Ec-00_007330	chr_00	957	
Ec-00_007340	chr_00	623	
Ec-00_007350	chr_00	2035	
Ec-00_007360	chr_00	177	
Ec-00_007370	chr_00	3504	GBG-sporophyte
Ec-00_007380	chr_00	3834	
Ec-00_007390	chr_00	3801	
Ec-00_007410	chr_00	1164	
Ec-00_007420	chr_00	297	
Ec-00_007430	chr_00	1599	SBG-female
Ec-00_007440	chr_00	1899	
Ec-00_007450	chr_00	1120	
Ec-00_007460	chr_00	750	
Ec-00_007470	chr_00	237	
Ec-00_007480	chr_00	3021	
Ec-00_007530	chr_00	345	
Ec-00_007540	chr_00	633	
Ec-00_007550	chr_00	156	
Ec-00_007560	chr_00	1263	
Ec-00_007570	chr_00	932	
Ec-00_007580	chr_00	1329	
Ec-00_007590	chr_00	2200	
Ec-00_007600	chr_00	4462	GBG-gametophyte
Ec-00_007610	chr_00	3129	
Ec-00_007620	chr_00	455	
Ec-00_007630	chr_00	3341	SBG-male
Ec-00_007630	chr_00	3341	GBG-gametophyte
Ec-00_007640	chr_00	716	
Ec-00_007650	chr_00	1322	GBG-gametophyte
Ec-00_007660	chr_00	1638	
Ec-00_007670	chr_00	2687	
Ec-00_007680	chr_00	4474	
Ec-00_007690	chr_00	1338	
Ec-00_007700	chr_00	1203	
Ec-00_007710	chr_00	2210	
Ec-00_007720	chr_00	2594	
Ec-00_007730	chr_00	785	
Ec-00_007740	chr_00	3525	
Ec-00_007750	chr_00	1702	
Ec-00_007760	chr_00	627	
Ec-00_007780	chr_00	9463	SBG-female
Ec-00_007780	chr_00	9463	GBG-sporophyte
Ec-00_007800	chr_00	2387	
Ec-00_007810	chr_00	2039	
Ec-00_007820	chr_00	3039	
Ec-00_007830	chr_00	2160	
Ec-00_007840	chr_00	1224	
Ec-00_007850	chr_00	129	
Ec-00_007870	chr_00	805	
Ec-00_007880	chr_00	1218	
Ec-00_007900	chr_00	3739	
Ec-00_007910	chr_00	660	
Ec-00_007920	chr_00	2037	
Ec-00_007940	chr_00	363	
Ec-00_007960	chr_00	881	
Ec-00_007970	chr_00	1305	
Ec-00_007980	chr_00	771	
Ec-00_007990	chr_00	891	
Ec-00_008000	chr_00	734	
Ec-00_008010	chr_00	2990	
Ec-00_008020	chr_00	2535	
Ec-00_008030	chr_00	1086	
Ec-00_008040	chr_00	1546	
Ec-00_008050	chr_00	2670	
Ec-00_008060	chr_00	2852	
Ec-00_008070	chr_00	3367	GBG-sporophyte
Ec-00_008080	chr_00	2099	
